test.subject	test.out
s048	s025
s048	s025
s048	s038
s048	s048
s048	s037
s048	s048
s048	s025
s048	s025
s048	s048
s048	s048
s048	s048
s048	s008
s048	s008
s048	s048
s048	s002
s048	s048
s048	s018
s048	s048
s048	s032
s048	s048
s048	s008
s048	s054
s048	s048
s048	s048
s048	s048
s048	s015
s048	s015
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s037
s048	s048
s048	s054
s048	s008
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s029
s048	s051
s048	s029
s048	s051
s048	s039
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s051
s048	s048
s048	s037
s048	s007
s048	s008
s048	s008
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s008
s048	s048
s048	s008
s048	s048
s048	s018
s048	s048
s048	s048
s048	s002
s048	s018
s048	s011
s048	s048
s048	s048
s048	s039
s048	s002
s048	s048
s048	s048
s048	s008
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s054
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s002
s048	s048
s048	s048
s048	s048
s048	s050
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s054
s048	s048
s048	s048
s048	s048
s048	s048
s048	s047
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s046
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s008
s048	s002
s048	s048
s048	s048
s048	s048
s048	s057
s048	s037
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s048
s048	s018
s048	s048
s048	s048
s048	s048
s048	s048
s021	s051
s008	s008
s030	s030
s008	s008
s029	s029
s050	s008
s049	s005
s026	s026
s044	s044
s004	s004
s040	s040
s016	s016
s033	s033
s036	s036
s035	s035
s031	s007
s024	s017
s053	s053
s018	s011
s013	s013
s018	s018
s052	s052
s038	s038
s049	s005
s055	s055
s050	s029
s004	s004
s004	s004
s039	s039
s049	s005
s027	s027
s004	s004
s051	s057
s033	s033
s043	s044
s055	s055
s033	s033
s020	s011
s050	s050
s015	s015
s011	s011
s027	s008
s026	s026
s004	s004
s057	s057
s018	s018
s046	s047
s007	s007
s043	s043
s008	s008
s052	s052
s039	s039
s042	s042
s016	s016
s029	s029
s034	s034
s034	s029
s056	s056
s005	s033
s011	s011
s054	s008
s015	s015
s019	s019
s013	s015
s046	s004
s004	s016
s030	s031
s043	s043
s043	s043
s010	s010
s005	s005
s057	s057
s016	s016
s031	s047
s042	s032
s008	s008
s040	s040
s044	s044
s054	s054
s053	s053
s002	s048
s018	s046
s010	s010
s020	s041
s003	s003
s056	s056
s016	s016
s025	s025
s057	s018
s012	s012
s043	s043
s015	s008
s043	s022
s038	s002
s026	s026
s002	s002
s047	s047
s041	s003
s039	s039
s027	s027
s025	s025
s003	s003
s055	s055
s046	s048
s046	s046
s032	s037
s013	s015
s037	s030
s018	s018
s032	s027
s022	s022
s043	s043
s054	s048
s018	s007
s031	s008
s039	s016
s037	s048
s049	s005
s025	s025
s034	s034
s033	s041
s021	s047
s033	s041
s005	s005
s037	s008
s052	s052
s042	s042
s003	s003
s027	s002
s025	s025
s021	s051
s055	s055
s016	s016
s046	s046
s005	s005
s037	s048
s004	s004
s032	s056
s046	s046
s053	s053
s018	s011
s034	s011
s041	s012
s039	s039
s036	s036
s039	s039
s044	s044
s050	s002
s010	s010
s022	s022
s034	s011
s028	s028
s052	s052
s019	s019
s024	s024
s046	s046
s051	s051
s019	s019
s029	s029
s021	s021
s056	s056
s054	s013
s011	s011
s030	s030
s003	s003
s044	s044
s018	s018
s007	s007
s044	s044
s037	s048
s049	s033
s002	s013
s038	s038
s049	s049
s057	s057
s034	s007
s039	s039
s056	s056
s011	s011
s051	s051
s013	s013
s018	s018
s020	s008
s053	s053
s030	s030
s044	s044
s034	s007
s015	s057
s018	s018
s007	s054
s016	s019
s019	s019
s056	s056
s030	s030
s017	s017
s031	s051
s010	s010
s034	s031
s039	s039
s057	s008
